id,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w
0_21,19.3815,16.337,1.6702,0.0,0.0,-0.11807391082485859,0.993004809445817
0_22,20.3168,15.8619,1.7491,0.0,0.0,-0.15907139481727903,0.9872670820760132
0_23,21.2221,15.2725,1.8146,0.0,0.0,-0.2013637592691386,0.9795165319957598
0_24,22.0224,14.652,1.9175,0.0,0.0,-0.24420520695283995,0.969723577571011
0_25,22.8938,14.0604,1.9922,0.0,0.0,-0.28959147849574957,0.9571503411599694
0_26,23.7838,13.1692,2.0561,0.0,0.0,-0.3371142170833086,0.9414637564135477
0_27,24.4804,12.3059,2.135,0.0,0.0,-0.38268428076468186,0.923879181092213
0_28,25.0092,11.3877,2.1689,0.0,0.0,-0.4271152819780984,0.9041971775562947
0_29,25.4503,10.4042,2.1979,0.0,0.0,-0.4751196457666295,0.8799212022713128
0_30,25.7804,9.381,2.2063,0.0,0.0,-0.526135657123346,0.8504006528121818
0_31,25.9795,8.3003,2.2008,0.0,0.0,-0.5798544263755739,0.814720101760509
0_32,26.2345,7.1564,2.2319,0.0,0.0,-0.6364986191255626,0.7712778408921469
0_33,26.2584,6.0052,2.2445,0.0,0.0,-0.6867438401959113,0.7268995102164897
0_34,26.0424,4.8994,2.235,0.0,0.0,-0.7330531805215021,0.6801713273340108
0_35,25.7127,3.7629,2.1926,0.0,0.0,-0.7780464023201213,0.6282068097662711
0_36,25.1687,2.71,2.1622,0.0,0.0,-0.8177552098570406,0.5755661706108754
0_37,24.5177,1.8254,2.1383,0.0,0.0,-0.8545843880439187,0.5193125491566722
0_38,23.769,1.0193,2.0928,0.0,0.0,-0.8857697997689405,0.4641248343035428
0_39,23.031,0.2107,2.0798,0.0,0.0,-0.9143095986524112,0.4050159969829176
0_40,22.0761,-0.5116,2.0334,0.0,0.0,-0.9357218652694433,0.35273870053720174
0_41,21.015,-1.1003,1.9455,0.0,0.0,-0.9523651911743372,0.3049599033306974
0_42,19.9966,-1.5408,1.8795,0.0,0.0,-0.9638385279742373,0.2664869452570901
0_43,18.9123,-1.8581,1.8003,0.0,0.0,-0.9724336432465903,0.23317977931665307
0_44,17.8345,-2.0863,1.7064,0.0,0.0,-0.9788372200497268,0.20464040814395024
0_45,16.6639,-2.3053,1.6603,0.0,0.0,-0.9843064919722383,0.17646736202852384
0_46,15.3903,-2.4965,1.5876,0.0,0.0,-0.9887790973353406,0.14938506174550675
0_47,14.2983,-2.5726,1.5282,0.0,0.0,-0.9919594593351512,0.1265560391111957
0_48,13.0948,-2.5622,1.454,0.0,0.0,-0.9947620751699596,0.10221748286646304
0_49,11.9226,-2.5337,1.4006,0.0,0.0,-0.9969598281940963,0.07791727001889842
0_50,10.7364,-2.4831,1.3665,0.0,0.0,-0.9985854090448928,0.053171240747646606
0_51,9.6512,-2.262,1.2651,0.0,0.0,-0.9994407237513945,0.033440091316990855
0_52,8.5161,-2.1334,1.2232,0.0,0.0,-0.9999510317576377,0.009896165259126323
0_53,7.3603,-1.9258,1.1221,0.0,0.0,0.9999395410077347,0.010996105185057769
0_54,6.2709,-1.6232,1.0971,0.0,0.0,0.9995118732473709,0.031241242573423172
0_55,5.1755,-1.3063,1.0095,0.0,0.0,0.9987529414985618,0.04992556307114048
0_56,4.2061,-0.9689,0.9587,0.0,0.0,0.9978394886732155,0.06569897141033433
0_57,3.1853,-0.5971,0.923,0.0,0.0,0.9965120351773901,0.0834491686394538
0_58,1.9994,-0.1126,0.8569,0.0,0.0,0.9943982217988651,0.10569851693971466
0_59,0.9922,0.3497,0.7551,0.0,0.0,0.992066673610109,0.1257128279539256
0_60,0.0565,0.816,0.7146,0.0,0.0,0.9890906254773221,0.14730829777334264
0_61,12.1159,-1.6784,1.394,0.0,0.0,-0.9914909231354582,0.1301758400779386
0_62,10.9708,-1.7142,1.312,0.0,0.0,-0.9984743098008503,0.05521822767633553
0_63,9.8253,-1.5559,1.2726,0.0,0.0,-0.9996010990344494,0.02824257086599621
0_64,8.7089,-1.3607,1.2264,0.0,0.0,-0.9999495360834053,0.01004615780199551
0_65,7.481,-1.1362,1.1303,0.0,0.0,0.999975174742066,0.0070462684858400865
0_66,6.2141,-0.7949,1.0682,0.0,0.0,0.999704858771338,0.024293936465281194
0_67,5.2122,-0.527,1.0342,0.0,0.0,0.9993485983289347,0.03608848871861175
0_68,4.242,-0.2501,0.9562,0.0,0.0,0.9990102017774128,0.044481645030875525
0_69,3.2563,0.153,0.9253,0.0,0.0,0.9985880663586972,0.053121311410751236
0_70,2.3027,0.469,0.8345,0.0,0.0,0.997997456227874,0.0632540699298702
0_71,1.3117,0.7697,0.7847,0.0,0.0,0.9973369509490264,0.07293151768405215
0_72,0.3038,1.1628,0.7166,0.0,0.0,0.9958626902952513,0.09087079881845686
0_73,-0.6416,1.568,0.6721,0.0,0.0,0.9936621086789069,0.11240824603109917
0_74,-1.5375,2.0244,0.5752,0.0,0.0,0.9903901594711891,0.13830159804800735
